"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.intensity.fluo.hsv.h.mean.24",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.24",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.24",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.border.length..px..25",-0.0440112753195025,0,-1.00100150250438,1.29782259989673,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..25",-0.0369525974638233,0,-1.00100150250438,1.41076144558759,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.area..px..25",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.circularity.25",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.length.25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....25",0.0386657234789584,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.25",-1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.area..px.2..25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..25",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.25",1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..25",2.77555756156289e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..25",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..25",-0.250250375626096,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..25",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..25",0,0,0,0,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..25",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.25",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.a.mean.25",0.460370497288557,0,0,1.35991894159061,0,"Rejected"
"top.intensity.fluo.lab.l.mean.25",0.400059294963365,0,0,1.41343494533048,0.00066711140760507,"Rejected"
"top.intensity.vis.hsv.h.brown2green.25",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.nir.mean.25",3.56448325522899,3.566593661281,1.9966690881144,5.26332088709576,1,"Confirmed"
"top.intensity.vis.hsv.h.red2green.25",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.25",1.61359274219158,1.65454678917745,-1.00100150250438,3.0144303860473,0.750500333555704,"Confirmed"
"top.intensity.vis.hsv.h.yellow2green.25",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.25",-0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.25",0.125125187813048,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.a.mean.25",0.638922752677911,1.00100150250438,-0.149792002873749,1.66649986362989,0.00200133422281521,"Rejected"
"top.intensity.vis.hsv.v.mean.25",0.0195571643124807,0,-1.00100150250438,1.41170195306648,0.00066711140760507,"Rejected"
"top.intensity.vis.lab.b.mean.25",0.521670752196729,0.639046822633868,-1.00100150250438,1.7143375003558,0.00200133422281521,"Rejected"
"top.intensity.vis.lab.l.mean.25",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.25",0.31281296953262,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.red.mean.25",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.green.mean.25",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.25",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.25",0.116438170825492,0,-1.00100150250438,1.41570766814705,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.25",-0.0044885471990579,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.26",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.border.length..px..26",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..26",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..26",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..26",0.206400005010566,0,0,1.30039707516029,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.26",-0.187687781719572,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.26",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.length.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....26",0.31281296953262,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..26",-0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..26",-0.151108130154686,0,-1.4167285799706,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.26",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.26",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.points.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..26",0.187687781719572,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..26",0.31281296953262,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..26",0.31281296953262,0,-1.00100150250438,1.00100150250438,0,"Rejected"
