"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.geometry.fluo.minrectangle.length.b..px..26",0.27315431257084,0,0,1.36746449362029,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..26",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..26",0.187687781719572,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..26",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.b.mean.26",0.532591239420484,0,0,1.87973540318626,0.00733822548365577,"Rejected"
"top.intensity.fluo.lab.a.mean.26",0.510714173187286,0,0,1.72702014086136,0.0066711140760507,"Rejected"
"top.intensity.fluo.lab.l.mean.26",0.441953075504326,0,0,1.80929228954724,0.0066711140760507,"Rejected"
"top.intensity.vis.hsv.h.brown2green.26",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.nir.mean.26",2.95603429647077,2.96944381400501,1.33578161943231,4.94249158922922,1,"Confirmed"
"top.intensity.vis.hsv.h.red2green.26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.s.mean.26",1.5858050185272,1.65630604916365,0,3.15818340015299,0.916611074049366,"Confirmed"
"top.intensity.vis.hsv.h.yellow2green.26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.mean.26",0.257825415713289,0,0,1.41032771996154,0.00066711140760507,"Rejected"
"top.intensity.fluo.intensity.mean.26",0.466986380759243,0,0,1.86129977991263,0.00333555703802535,"Rejected"
"top.intensity.vis.lab.a.mean.26",0.405066565783929,0,0,1.99073099334927,0.00400266844563042,"Rejected"
"top.intensity.vis.hsv.v.mean.26",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.b.mean.26",0.433529199005025,0,-1.00100150250438,1.40632251694834,0.00600400266844563,"Rejected"
"top.intensity.vis.lab.l.mean.26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.red.mean.26",0,0,0,0,0,"Rejected"
